;actor;subject;observed.crowd;observed.displace;observed.totalCD;random.displace;random.crowd;runID
43;GBB;RBB;0;2;2;1;1;run001
44;GBB;RBG;0;1;1;1;0;run001
45;GBB;RBR;1;1;2;0;2;run001
46;GBB;RGG;0;2;2;2;0;run001
47;GBB;RGR;0;1;1;1;0;run001
48;GBB;RRG;0;3;3;0;3;run001
49;GBG;BRB;0;1;1;1;0;run001
50;GBG;BRR;0;3;3;3;0;run001
51;GBG;GGB;0;1;1;0;1;run001
52;GBG;GGR;0;3;3;2;1;run001
53;GBG;RBR;0;1;1;1;0;run001
54;GBG;RGR;1;1;2;1;1;run001
55;GBG;RRR;0;1;1;1;0;run001
56;GGB;BBB;1;8;9;6;3;run001
57;GGB;BBG;0;1;1;0;1;run001
58;GGB;BGB;0;1;1;1;0;run001
59;GGB;BRB;3;5;8;5;3;run001
60;GGB;BRR;0;1;1;1;0;run001
61;GGB;GBG;0;2;2;1;1;run001
62;GGB;GGG;4;37;41;1;40;run001
63;GGB;GGR;0;9;9;1;8;run001
64;GGB;GRR;1;4;5;5;0;run001
65;GGB;RBB;0;2;2;1;1;run001
66;GGB;RBG;0;2;2;1;1;run001
67;GGB;RBR;0;2;2;0;2;run001
68;GGB;RGG;0;1;1;0;1;run001
69;GGB;RGR;1;2;3;2;1;run001
70;GGB;RRG;1;3;4;3;1;run001
71;GGB;RRR;0;3;3;1;2;run001
72;GGG;BBB;4;22;26;7;19;run001
73;GGG;BBG;0;2;2;2;0;run001
74;GGG;BBR;0;3;3;2;1;run001
75;GGG;BGB;0;2;2;0;2;run001
76;GGG;BGG;0;3;3;3;0;run001
77;GGG;BRB;0;3;3;0;3;run001
78;GGG;BRR;0;3;3;3;0;run001
79;GGG;GBB;0;1;1;0;1;run001
80;GGG;GGB;1;3;4;0;4;run001
81;GGG;GGR;0;21;21;13;8;run001
82;GGG;GRG;0;2;2;2;0;run001
83;GGG;GRR;2;15;17;12;5;run001
84;GGG;RBB;0;1;1;1;0;run001
85;GGG;RBR;1;4;5;5;0;run001
86;GGG;RGG;1;7;8;0;8;run001
87;GGG;RGR;0;3;3;0;3;run001
88;GGG;RRG;0;2;2;0;2;run001
89;GGG;RRR;0;1;1;0;1;run001
90;GGR;BBB;0;1;1;1;0;run001
91;GGR;BGG;0;2;2;0;2;run001
92;GGR;BRB;0;1;1;0;1;run001
93;GRG;BBB;0;3;3;2;1;run001
94;GRG;BGB;0;3;3;2;1;run001
95;GRG;BGG;0;1;1;0;1;run001
96;GRG;BRB;0;5;5;5;0;run001
97;GRG;BRR;0;1;1;1;0;run001
98;GRG;GBB;0;3;3;1;2;run001
99;GRG;GGB;0;14;14;10;4;run001
100;GRG;GGG;0;10;10;9;1;run001
101;GRG;GGR;0;2;2;2;0;run001
102;GRG;GRR;0;1;1;0;1;run001
103;GRG;RBR;1;2;3;3;0;run001
104;GRG;RGG;0;2;2;2;0;run001
105;GRG;RGR;0;1;1;0;1;run001
106;GRR;BBB;0;3;3;1;2;run001
107;GRR;BBR;0;2;2;1;1;run001
108;GRR;BRB;1;8;9;0;9;run001
109;GRR;BRR;1;6;7;2;5;run001
110;GRR;GBB;0;1;1;0;1;run001
111;GRR;GBG;0;1;1;1;0;run001
112;GRR;GGR;1;9;10;9;1;run001
113;GRR;RBR;0;1;1;0;1;run001
114;GRR;RGG;1;3;4;1;3;run001
115;GRR;RGR;0;1;1;1;0;run001
116;GRR;RRR;0;1;1;0;1;run001
117;RBB;BBB;0;1;1;1;0;run001
118;RBB;GGG;0;3;3;2;1;run001
119;RBG;GRR;0;1;1;0;1;run001
120;RBG;RBR;0;1;1;1;0;run001
121;RBG;RGR;0;1;1;0;1;run001
122;RBR;BBB;0;3;3;3;0;run001
123;RBR;BRB;0;1;1;1;0;run001
124;RBR;BRR;0;2;2;0;2;run001
125;RBR;GGG;0;1;1;0;1;run001
126;RBR;GGR;1;2;3;1;2;run001
127;RBR;GRG;0;1;1;0;1;run001
128;RBR;GRR;1;15;16;10;6;run001
129;RBR;RGG;0;4;4;0;4;run001
130;RBR;RGR;0;1;1;0;1;run001
131;RBR;RRR;0;3;3;1;2;run001
132;RGG;BGG;0;1;1;1;0;run001
133;RGG;RGR;0;1;1;1;0;run001
134;RGR;BBB;0;9;9;3;6;run001
135;RGR;BBR;0;1;1;0;1;run001
136;RGR;BGB;1;8;9;4;5;run001
137;RGR;BRB;0;3;3;0;3;run001
138;RGR;BRR;0;3;3;1;2;run001
139;RGR;GBG;0;1;1;0;1;run001
140;RGR;GGB;0;3;3;2;1;run001
141;RGR;GGG;0;2;2;1;1;run001
142;RGR;GGR;0;8;8;2;6;run001
143;RGR;GRR;1;7;8;6;2;run001
144;RGR;RGG;0;6;6;5;1;run001
145;RRG;BGB;0;1;1;0;1;run001
146;RRG;BRB;0;1;1;0;1;run001
147;RRG;GGG;0;1;1;1;0;run001
148;RRG;GGR;0;1;1;0;1;run001
149;RRG;GRG;0;1;1;0;1;run001
150;RRG;GRR;0;3;3;3;0;run001
151;RRG;RBR;0;4;4;1;3;run001
152;RRG;RGG;0;1;1;1;0;run001
153;RRG;RGR;6;37;43;26;17;run001
154;RRR;BRR;0;1;1;0;1;run001
155;RRR;GGB;0;1;1;0;1;run001
156;RRR;GGG;1;5;6;3;3;run001
157;RRR;GGR;0;2;2;0;2;run001
158;RRR;GRR;0;1;1;1;0;run001
159;RRR;RGR;0;1;1;0;1;run001
160;BBB;GRR;0;1;1;0;1;run002
161;BBG;BBB;1;9;10;5;5;run002
162;BBG;BBR;0;2;2;1;1;run002
163;BBG;BGB;0;1;1;1;0;run002
164;BBG;BGG;0;1;1;1;0;run002
165;BBG;BRB;0;2;2;0;2;run002
166;BBG;BRR;0;1;1;0;1;run002
167;BBG;GBB;1;1;2;0;2;run002
168;BBG;GBG;1;6;7;3;4;run002
169;BBG;GGB;0;18;18;8;10;run002
170;BBG;GGG;1;29;30;17;13;run002
171;BBG;GGR;0;2;2;2;0;run002
172;BBG;GRG;0;1;1;0;1;run002
173;BBG;GRR;0;3;3;2;1;run002
174;BBG;RBR;0;2;2;1;1;run002
175;BBG;RGR;0;2;2;1;1;run002
176;BBG;RRG;1;2;3;2;1;run002
177;BBG;RRR;0;1;1;0;1;run002
178;BGG;BBB;0;1;1;0;1;run002
179;BGG;BRB;0;1;1;1;0;run002
180;BGG;GGG;0;1;1;0;1;run002
181;BGG;RBB;0;1;1;0;1;run002
182;BGG;RBG;1;0;1;1;0;run002
183;BRB;BBB;0;1;1;0;1;run002
184;BRB;GGB;1;0;1;1;0;run002
185;BRB;GGG;0;2;2;2;0;run002
186;BRB;RBB;1;0;1;1;0;run002
187;BRR;BBB;0;1;1;0;1;run002
188;BRR;BRB;0;1;1;1;0;run002
189;BRR;GBB;1;0;1;1;0;run002
190;GBB;BBB;1;16;17;15;2;run002
191;GBB;BBG;0;2;2;0;2;run002
192;GBB;BGB;0;1;1;1;0;run002
193;GBB;BGG;0;3;3;3;0;run002
194;GBB;BRB;0;9;9;5;4;run002
195;GBB;BRR;0;2;2;2;0;run002
196;GBB;GBG;1;1;2;0;2;run002
197;GBB;GGB;2;59;61;54;7;run002
198;GBB;GGG;4;95;99;71;28;run002
199;GBB;GGR;0;1;1;0;1;run002
200;GBB;GRG;0;1;1;0;1;run002
201;GBB;GRR;1;8;9;5;4;run002
202;GBB;RBB;0;2;2;1;1;run002
203;GBB;RBG;0;1;1;1;0;run002
204;GBB;RBR;1;1;2;2;0;run002
205;GBB;RGG;0;2;2;1;1;run002
206;GBB;RGR;0;1;1;0;1;run002
207;GBB;RRG;0;3;3;3;0;run002
208;GBG;BRB;0;1;1;0;1;run002
209;GBG;BRR;0;3;3;0;3;run002
210;GBG;GGB;0;1;1;0;1;run002
211;GBG;GGR;0;3;3;3;0;run002
212;GBG;RBR;0;1;1;0;1;run002
213;GBG;RGR;1;1;2;0;2;run002
214;GBG;RRR;0;1;1;0;1;run002
215;GGB;BBB;1;8;9;0;9;run002
216;GGB;BBG;0;1;1;1;0;run002
217;GGB;BGB;0;1;1;1;0;run002
218;GGB;BRB;3;5;8;3;5;run002
219;GGB;BRR;0;1;1;0;1;run002
220;GGB;GBG;0;2;2;1;1;run002
221;GGB;GGG;4;37;41;36;5;run002
222;GGB;GGR;0;9;9;1;8;run002
223;GGB;GRR;1;4;5;4;1;run002
224;GGB;RBB;0;2;2;1;1;run002
225;GGB;RBG;0;2;2;0;2;run002
226;GGB;RBR;0;2;2;2;0;run002
227;GGB;RGG;0;1;1;1;0;run002
228;GGB;RGR;1;2;3;1;2;run002
229;GGB;RRG;1;3;4;3;1;run002
230;GGB;RRR;0;3;3;3;0;run002
231;GGG;BBB;4;22;26;3;23;run002
232;GGG;BBG;0;2;2;0;2;run002
233;GGG;BBR;0;3;3;1;2;run002
234;GGG;BGB;0;2;2;2;0;run002
235;GGG;BGG;0;3;3;1;2;run002
236;GGG;BRB;0;3;3;1;2;run002
237;GGG;BRR;0;3;3;1;2;run002
238;GGG;GBB;0;1;1;1;0;run002
239;GGG;GGB;1;3;4;2;2;run002
240;GGG;GGR;0;21;21;14;7;run002
241;GGG;GRG;0;2;2;0;2;run002
242;GGG;GRR;2;15;17;2;15;run002
243;GGG;RBB;0;1;1;1;0;run002
244;GGG;RBR;1;4;5;5;0;run002
245;GGG;RGG;1;7;8;0;8;run002
246;GGG;RGR;0;3;3;0;3;run002
247;GGG;RRG;0;2;2;1;1;run002
248;GGG;RRR;0;1;1;0;1;run002
249;GGR;BBB;0;1;1;1;0;run002
250;GGR;BGG;0;2;2;0;2;run002
251;GGR;BRB;0;1;1;0;1;run002
252;GRG;BBB;0;3;3;3;0;run002
253;GRG;BGB;0;3;3;2;1;run002
254;GRG;BGG;0;1;1;1;0;run002
255;GRG;BRB;0;5;5;0;5;run002
256;GRG;BRR;0;1;1;1;0;run002
257;GRG;GBB;0;3;3;0;3;run002
258;GRG;GGB;0;14;14;14;0;run002
259;GRG;GGG;0;10;10;4;6;run002
260;GRG;GGR;0;2;2;2;0;run002
261;GRG;GRR;0;1;1;0;1;run002
262;GRG;RBR;1;2;3;2;1;run002
263;GRG;RGG;0;2;2;1;1;run002
264;GRG;RGR;0;1;1;1;0;run002
265;GRR;BBB;0;3;3;0;3;run002
266;GRR;BBR;0;2;2;2;0;run002
267;GRR;BRB;1;8;9;0;9;run002
268;GRR;BRR;1;6;7;3;4;run002
269;GRR;GBB;0;1;1;0;1;run002
270;GRR;GBG;0;1;1;1;0;run002
271;GRR;GGR;1;9;10;1;9;run002
272;GRR;RBR;0;1;1;0;1;run002
273;GRR;RGG;1;3;4;3;1;run002
274;GRR;RGR;0;1;1;1;0;run002
275;GRR;RRR;0;1;1;0;1;run002
276;RBB;BBB;0;1;1;1;0;run002
277;RBB;GGG;0;3;3;1;2;run002
278;RBG;GRR;0;1;1;1;0;run002
279;RBG;RBR;0;1;1;0;1;run002
280;RBG;RGR;0;1;1;0;1;run002
281;RBR;BBB;0;3;3;1;2;run002
282;RBR;BRB;0;1;1;0;1;run002
283;RBR;BRR;0;2;2;1;1;run002
284;RBR;GGG;0;1;1;0;1;run002
285;RBR;GGR;1;2;3;3;0;run002
286;RBR;GRG;0;1;1;0;1;run002
287;RBR;GRR;1;15;16;4;12;run002
288;RBR;RGG;0;4;4;3;1;run002
289;RBR;RGR;0;1;1;0;1;run002
290;RBR;RRR;0;3;3;2;1;run002
291;RGG;BGG;0;1;1;0;1;run002
292;RGG;RGR;0;1;1;0;1;run002
293;RGR;BBB;0;9;9;4;5;run002
294;RGR;BBR;0;1;1;1;0;run002
295;RGR;BGB;1;8;9;2;7;run002
296;RGR;BRB;0;3;3;2;1;run002
297;RGR;BRR;0;3;3;3;0;run002
298;RGR;GBG;0;1;1;0;1;run002
299;RGR;GGB;0;3;3;2;1;run002
300;RGR;GGG;0;2;2;2;0;run002
301;RGR;GGR;0;8;8;8;0;run002
302;RGR;GRR;1;7;8;4;4;run002
303;RGR;RGG;0;6;6;2;4;run002
304;RRG;BGB;0;1;1;1;0;run002
305;RRG;BRB;0;1;1;0;1;run002
306;RRG;GGG;0;1;1;1;0;run002
307;RRG;GGR;0;1;1;0;1;run002
308;RRG;GRG;0;1;1;1;0;run002
309;RRG;GRR;0;3;3;1;2;run002
310;RRG;RBR;0;4;4;1;3;run002
311;RRG;RGG;0;1;1;0;1;run002
312;RRG;RGR;6;37;43;31;12;run002
313;RRR;BRR;0;1;1;0;1;run002
314;RRR;GGB;0;1;1;0;1;run002
315;RRR;GGG;1;5;6;0;6;run002
316;RRR;GGR;0;2;2;2;0;run002
317;RRR;GRR;0;1;1;0;1;run002
318;RRR;RGR;0;1;1;0;1;run002
319;BBB;GRR;0;1;1;0;1;run003
320;BBG;BBB;1;9;10;9;1;run003
321;BBG;BBR;0;2;2;2;0;run003
322;BBG;BGB;0;1;1;1;0;run003
323;BBG;BGG;0;1;1;1;0;run003
324;BBG;BRB;0;2;2;2;0;run003
325;BBG;BRR;0;1;1;0;1;run003
326;BBG;GBB;1;1;2;1;1;run003
327;BBG;GBG;1;6;7;6;1;run003
328;BBG;GGB;0;18;18;7;11;run003
329;BBG;GGG;1;29;30;15;15;run003
330;BBG;GGR;0;2;2;0;2;run003
331;BBG;GRG;0;1;1;1;0;run003
332;BBG;GRR;0;3;3;0;3;run003
333;BBG;RBR;0;2;2;0;2;run003
334;BBG;RGR;0;2;2;0;2;run003
335;BBG;RRG;1;2;3;3;0;run003
336;BBG;RRR;0;1;1;0;1;run003
337;BGG;BBB;0;1;1;0;1;run003
338;BGG;BRB;0;1;1;0;1;run003
339;BGG;GGG;0;1;1;1;0;run003
340;BGG;RBB;0;1;1;1;0;run003
341;BGG;RBG;1;0;1;1;0;run003
342;BRB;BBB;0;1;1;1;0;run003
343;BRB;GGB;1;0;1;1;0;run003
344;BRB;GGG;0;2;2;0;2;run003
345;BRB;RBB;1;0;1;1;0;run003
346;BRR;BBB;0;1;1;1;0;run003
347;BRR;BRB;0;1;1;1;0;run003
348;BRR;GBB;1;0;1;1;0;run003
349;GBB;BBB;1;16;17;5;12;run003
350;GBB;BBG;0;2;2;2;0;run003
351;GBB;BGB;0;1;1;1;0;run003
352;GBB;BGG;0;3;3;2;1;run003
353;GBB;BRB;0;9;9;6;3;run003
354;GBB;BRR;0;2;2;2;0;run003
355;GBB;GBG;1;1;2;1;1;run003
356;GBB;GGB;2;59;61;36;25;run003
357;GBB;GGG;4;95;99;53;46;run003
358;GBB;GGR;0;1;1;1;0;run003
359;GBB;GRG;0;1;1;1;0;run003
360;GBB;GRR;1;8;9;3;6;run003
361;GBB;RBB;0;2;2;0;2;run003
362;GBB;RBG;0;1;1;0;1;run003
363;GBB;RBR;1;1;2;1;1;run003
364;GBB;RGG;0;2;2;0;2;run003
365;GBB;RGR;0;1;1;1;0;run003
366;GBB;RRG;0;3;3;0;3;run003
367;GBG;BRB;0;1;1;1;0;run003
368;GBG;BRR;0;3;3;2;1;run003
369;GBG;GGB;0;1;1;1;0;run003
370;GBG;GGR;0;3;3;0;3;run003
371;GBG;RBR;0;1;1;0;1;run003
372;GBG;RGR;1;1;2;0;2;run003
373;GBG;RRR;0;1;1;0;1;run003
374;GGB;BBB;1;8;9;4;5;run003
375;GGB;BBG;0;1;1;1;0;run003
376;GGB;BGB;0;1;1;1;0;run003
377;GGB;BRB;3;5;8;5;3;run003
378;GGB;BRR;0;1;1;0;1;run003
379;GGB;GBG;0;2;2;2;0;run003
380;GGB;GGG;4;37;41;39;2;run003
381;GGB;GGR;0;9;9;9;0;run003
382;GGB;GRR;1;4;5;3;2;run003
383;GGB;RBB;0;2;2;1;1;run003
384;GGB;RBG;0;2;2;0;2;run003
385;GGB;RBR;0;2;2;2;0;run003
386;GGB;RGG;0;1;1;1;0;run003
387;GGB;RGR;1;2;3;3;0;run003
388;GGB;RRG;1;3;4;1;3;run003
389;GGB;RRR;0;3;3;0;3;run003
390;GGG;BBB;4;22;26;15;11;run003
391;GGG;BBG;0;2;2;1;1;run003
392;GGG;BBR;0;3;3;0;3;run003
393;GGG;BGB;0;2;2;0;2;run003
394;GGG;BGG;0;3;3;1;2;run003
395;GGG;BRB;0;3;3;0;3;run003
396;GGG;BRR;0;3;3;1;2;run003
397;GGG;GBB;0;1;1;1;0;run003
398;GGG;GGB;1;3;4;1;3;run003
399;GGG;GGR;0;21;21;5;16;run003
400;GGG;GRG;0;2;2;1;1;run003
401;GGG;GRR;2;15;17;14;3;run003
402;GGG;RBB;0;1;1;0;1;run003
403;GGG;RBR;1;4;5;1;4;run003
404;GGG;RGG;1;7;8;1;7;run003
405;GGG;RGR;0;3;3;0;3;run003
406;GGG;RRG;0;2;2;2;0;run003
407;GGG;RRR;0;1;1;0;1;run003
408;GGR;BBB;0;1;1;1;0;run003
409;GGR;BGG;0;2;2;1;1;run003
410;GGR;BRB;0;1;1;1;0;run003
411;GRG;BBB;0;3;3;0;3;run003
412;GRG;BGB;0;3;3;3;0;run003
413;GRG;BGG;0;1;1;0;1;run003
414;GRG;BRB;0;5;5;5;0;run003
415;GRG;BRR;0;1;1;0;1;run003
416;GRG;GBB;0;3;3;2;1;run003
417;GRG;GGB;0;14;14;2;12;run003
418;GRG;GGG;0;10;10;7;3;run003
419;GRG;GGR;0;2;2;2;0;run003
420;GRG;GRR;0;1;1;0;1;run003
421;GRG;RBR;1;2;3;3;0;run003
422;GRG;RGG;0;2;2;0;2;run003
423;GRG;RGR;0;1;1;1;0;run003
424;GRR;BBB;0;3;3;3;0;run003
425;GRR;BBR;0;2;2;2;0;run003
426;GRR;BRB;1;8;9;8;1;run003
427;GRR;BRR;1;6;7;2;5;run003
428;GRR;GBB;0;1;1;1;0;run003
429;GRR;GBG;0;1;1;0;1;run003
430;GRR;GGR;1;9;10;10;0;run003
431;GRR;RBR;0;1;1;0;1;run003
432;GRR;RGG;1;3;4;4;0;run003
433;GRR;RGR;0;1;1;0;1;run003
434;GRR;RRR;0;1;1;0;1;run003
435;RBB;BBB;0;1;1;1;0;run003
436;RBB;GGG;0;3;3;1;2;run003
437;RBG;GRR;0;1;1;1;0;run003
438;RBG;RBR;0;1;1;0;1;run003
439;RBG;RGR;0;1;1;0;1;run003
440;RBR;BBB;0;3;3;1;2;run003
441;RBR;BRB;0;1;1;0;1;run003
442;RBR;BRR;0;2;2;1;1;run003
443;RBR;GGG;0;1;1;1;0;run003
444;RBR;GGR;1;2;3;3;0;run003
445;RBR;GRG;0;1;1;0;1;run003
446;RBR;GRR;1;15;16;8;8;run003
447;RBR;RGG;0;4;4;1;3;run003
448;RBR;RGR;0;1;1;1;0;run003
449;RBR;RRR;0;3;3;2;1;run003
450;RGG;BGG;0;1;1;0;1;run003
451;RGG;RGR;0;1;1;0;1;run003
452;RGR;BBB;0;9;9;2;7;run003
453;RGR;BBR;0;1;1;1;0;run003
454;RGR;BGB;1;8;9;0;9;run003
455;RGR;BRB;0;3;3;1;2;run003
456;RGR;BRR;0;3;3;1;2;run003
457;RGR;GBG;0;1;1;1;0;run003
458;RGR;GGB;0;3;3;0;3;run003
459;RGR;GGG;0;2;2;0;2;run003
460;RGR;GGR;0;8;8;8;0;run003
461;RGR;GRR;1;7;8;4;4;run003
462;RGR;RGG;0;6;6;6;0;run003
463;RRG;BGB;0;1;1;0;1;run003
464;RRG;BRB;0;1;1;0;1;run003
465;RRG;GGG;0;1;1;1;0;run003
466;RRG;GGR;0;1;1;1;0;run003
467;RRG;GRG;0;1;1;1;0;run003
468;RRG;GRR;0;3;3;3;0;run003
469;RRG;RBR;0;4;4;4;0;run003
470;RRG;RGG;0;1;1;0;1;run003
471;RRG;RGR;6;37;43;43;0;run003
472;RRR;BRR;0;1;1;1;0;run003
473;RRR;GGB;0;1;1;1;0;run003
474;RRR;GGG;1;5;6;2;4;run003
475;RRR;GGR;0;2;2;1;1;run003
476;RRR;GRR;0;1;1;0;1;run003
477;RRR;RGR;0;1;1;1;0;run003
478;BBB;GRR;0;1;1;1;0;run004
479;BBG;BBB;1;9;10;10;0;run004
480;BBG;BBR;0;2;2;2;0;run004
481;BBG;BGB;0;1;1;0;1;run004
482;BBG;BGG;0;1;1;0;1;run004
483;BBG;BRB;0;2;2;2;0;run004
484;BBG;BRR;0;1;1;1;0;run004
485;BBG;GBB;1;1;2;0;2;run004
486;BBG;GBG;1;6;7;1;6;run004
487;BBG;GGB;0;18;18;18;0;run004
488;BBG;GGG;1;29;30;23;7;run004
489;BBG;GGR;0;2;2;1;1;run004
490;BBG;GRG;0;1;1;1;0;run004
491;BBG;GRR;0;3;3;1;2;run004
492;BBG;RBR;0;2;2;1;1;run004
493;BBG;RGR;0;2;2;0;2;run004
494;BBG;RRG;1;2;3;3;0;run004
495;BBG;RRR;0;1;1;0;1;run004
496;BGG;BBB;0;1;1;0;1;run004
497;BGG;BRB;0;1;1;0;1;run004
498;BGG;GGG;0;1;1;0;1;run004
499;BGG;RBB;0;1;1;0;1;run004
500;BGG;RBG;1;0;1;1;0;run004
501;BRB;BBB;0;1;1;1;0;run004
502;BRB;GGB;1;0;1;0;1;run004
503;BRB;GGG;0;2;2;0;2;run004
504;BRB;RBB;1;0;1;1;0;run004
505;BRR;BBB;0;1;1;1;0;run004
506;BRR;BRB;0;1;1;0;1;run004
507;BRR;GBB;1;0;1;1;0;run004
508;GBB;BBB;1;16;17;4;13;run004
509;GBB;BBG;0;2;2;2;0;run004
510;GBB;BGB;0;1;1;0;1;run004
511;GBB;BGG;0;3;3;1;2;run004
512;GBB;BRB;0;9;9;4;5;run004
513;GBB;BRR;0;2;2;0;2;run004
514;GBB;GBG;1;1;2;1;1;run004
515;GBB;GGB;2;59;61;10;51;run004
516;GBB;GGG;4;95;99;79;20;run004
517;GBB;GGR;0;1;1;1;0;run004
518;GBB;GRG;0;1;1;0;1;run004
519;GBB;GRR;1;8;9;3;6;run004
520;GBB;RBB;0;2;2;0;2;run004
521;GBB;RBG;0;1;1;1;0;run004
522;GBB;RBR;1;1;2;1;1;run004
523;GBB;RGG;0;2;2;2;0;run004
524;GBB;RGR;0;1;1;1;0;run004
525;GBB;RRG;0;3;3;0;3;run004
526;GBG;BRB;0;1;1;1;0;run004
527;GBG;BRR;0;3;3;3;0;run004
528;GBG;GGB;0;1;1;1;0;run004
529;GBG;GGR;0;3;3;1;2;run004
530;GBG;RBR;0;1;1;1;0;run004
531;GBG;RGR;1;1;2;0;2;run004
532;GBG;RRR;0;1;1;0;1;run004
533;GGB;BBB;1;8;9;4;5;run004
534;GGB;BBG;0;1;1;0;1;run004
535;GGB;BGB;0;1;1;1;0;run004
536;GGB;BRB;3;5;8;3;5;run004
537;GGB;BRR;0;1;1;1;0;run004
538;GGB;GBG;0;2;2;1;1;run004
539;GGB;GGG;4;37;41;33;8;run004
540;GGB;GGR;0;9;9;9;0;run004
541;GGB;GRR;1;4;5;2;3;run004
542;GGB;RBB;0;2;2;1;1;run004
543;GGB;RBG;0;2;2;1;1;run004
544;GGB;RBR;0;2;2;2;0;run004
545;GGB;RGG;0;1;1;0;1;run004
546;GGB;RGR;1;2;3;1;2;run004
547;GGB;RRG;1;3;4;4;0;run004
548;GGB;RRR;0;3;3;0;3;run004
549;GGG;BBB;4;22;26;3;23;run004
550;GGG;BBG;0;2;2;1;1;run004
551;GGG;BBR;0;3;3;3;0;run004
552;GGG;BGB;0;2;2;2;0;run004
553;GGG;BGG;0;3;3;0;3;run004
554;GGG;BRB;0;3;3;2;1;run004
555;GGG;BRR;0;3;3;1;2;run004
556;GGG;GBB;0;1;1;0;1;run004
557;GGG;GGB;1;3;4;4;0;run004
558;GGG;GGR;0;21;21;4;17;run004
559;GGG;GRG;0;2;2;1;1;run004
560;GGG;GRR;2;15;17;0;17;run004
561;GGG;RBB;0;1;1;1;0;run004
562;GGG;RBR;1;4;5;0;5;run004
563;GGG;RGG;1;7;8;3;5;run004
564;GGG;RGR;0;3;3;2;1;run004
565;GGG;RRG;0;2;2;0;2;run004
566;GGG;RRR;0;1;1;1;0;run004
567;GGR;BBB;0;1;1;1;0;run004
568;GGR;BGG;0;2;2;1;1;run004
569;GGR;BRB;0;1;1;1;0;run004
570;GRG;BBB;0;3;3;3;0;run004
571;GRG;BGB;0;3;3;0;3;run004
572;GRG;BGG;0;1;1;0;1;run004
573;GRG;BRB;0;5;5;1;4;run004
574;GRG;BRR;0;1;1;0;1;run004
575;GRG;GBB;0;3;3;0;3;run004
576;GRG;GGB;0;14;14;13;1;run004
577;GRG;GGG;0;10;10;10;0;run004
578;GRG;GGR;0;2;2;1;1;run004
579;GRG;GRR;0;1;1;1;0;run004
580;GRG;RBR;1;2;3;1;2;run004
581;GRG;RGG;0;2;2;0;2;run004
582;GRG;RGR;0;1;1;0;1;run004
583;GRR;BBB;0;3;3;3;0;run004
584;GRR;BBR;0;2;2;2;0;run004
585;GRR;BRB;1;8;9;0;9;run004
586;GRR;BRR;1;6;7;2;5;run004
587;GRR;GBB;0;1;1;1;0;run004
588;GRR;GBG;0;1;1;0;1;run004
589;GRR;GGR;1;9;10;2;8;run004
590;GRR;RBR;0;1;1;0;1;run004
591;GRR;RGG;1;3;4;4;0;run004
592;GRR;RGR;0;1;1;0;1;run004
593;GRR;RRR;0;1;1;0;1;run004
594;RBB;BBB;0;1;1;1;0;run004
595;RBB;GGG;0;3;3;3;0;run004
596;RBG;GRR;0;1;1;1;0;run004
597;RBG;RBR;0;1;1;1;0;run004
598;RBG;RGR;0;1;1;1;0;run004
599;RBR;BBB;0;3;3;3;0;run004
600;RBR;BRB;0;1;1;0;1;run004
601;RBR;BRR;0;2;2;2;0;run004
602;RBR;GGG;0;1;1;0;1;run004
603;RBR;GGR;1;2;3;2;1;run004
604;RBR;GRG;0;1;1;0;1;run004
605;RBR;GRR;1;15;16;2;14;run004
